127.0.0.1, 2016-03-20 15:18:19, GET, /admin/default/peek/myapp/views/default/index.html, HTTP/1.1, 200, 0.059345
127.0.0.1, 2016-03-20 15:18:22, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.180422
127.0.0.1, 2016-03-20 15:18:27, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.084757
127.0.0.1, 2016-03-20 15:18:28, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.042318
127.0.0.1, 2016-03-20 15:18:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.048958
127.0.0.1, 2016-03-20 15:18:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101899
127.0.0.1, 2016-03-20 15:18:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.144585
127.0.0.1, 2016-03-20 15:18:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.113219
127.0.0.1, 2016-03-20 15:18:28, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.213742
127.0.0.1, 2016-03-20 15:19:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103394
127.0.0.1, 2016-03-20 15:19:28, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.173446
127.0.0.1, 2016-03-20 15:19:59, POST, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.052158
127.0.0.1, 2016-03-20 15:20:03, GET, /myapp/default/index, HTTP/1.1, 200, 0.031396
127.0.0.1, 2016-03-20 15:20:04, GET, /myapp/default/index, HTTP/1.1, 200, 0.034937
127.0.0.1, 2016-03-20 15:20:05, GET, /myapp/default/index, HTTP/1.1, 200, 0.052730
127.0.0.1, 2016-03-20 15:20:06, GET, /myapp/default/index, HTTP/1.1, 200, 0.055848
127.0.0.1, 2016-03-20 15:20:09, GET, /myapp/default/index, HTTP/1.1, 200, 0.051077
127.0.0.1, 2016-03-20 15:20:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071808
127.0.0.1, 2016-03-20 15:20:28, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.147330
127.0.0.1, 2016-03-20 15:20:43, GET, /myapp/default/index, HTTP/1.1, 200, 0.056184
127.0.0.1, 2016-03-20 15:20:51, GET, /myapp/default/index, HTTP/1.1, 200, 0.043848
127.0.0.1, 2016-03-20 15:21:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058328
127.0.0.1, 2016-03-20 15:21:28, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.133978
127.0.0.1, 2016-03-20 15:21:47, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.176854
127.0.0.1, 2016-03-20 15:21:50, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.054548
127.0.0.1, 2016-03-20 15:21:53, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.168935
127.0.0.1, 2016-03-20 15:21:55, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.046308
127.0.0.1, 2016-03-20 15:21:55, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.054705
127.0.0.1, 2016-03-20 15:21:55, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.067895
127.0.0.1, 2016-03-20 15:21:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.113360
127.0.0.1, 2016-03-20 15:21:55, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.062524
127.0.0.1, 2016-03-20 15:21:55, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.191500
127.0.0.1, 2016-03-20 15:21:55, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.251482
127.0.0.1, 2016-03-20 15:22:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073452
127.0.0.1, 2016-03-20 15:22:55, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.147636
127.0.0.1, 2016-03-20 15:23:22, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.026272
127.0.0.1, 2016-03-20 15:23:25, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.186307
127.0.0.1, 2016-03-20 15:24:26, POST, /admin/default/create_file, HTTP/1.1, 303, 0.025113
127.0.0.1, 2016-03-20 15:24:26, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.168550
127.0.0.1, 2016-03-20 15:24:32, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.039195
127.0.0.1, 2016-03-20 15:24:32, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.048328
127.0.0.1, 2016-03-20 15:24:32, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.109678
127.0.0.1, 2016-03-20 15:24:32, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.082846
127.0.0.1, 2016-03-20 15:24:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149136
127.0.0.1, 2016-03-20 15:24:32, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.173167
127.0.0.1, 2016-03-20 15:24:32, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.244833
127.0.0.1, 2016-03-20 15:25:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072801
127.0.0.1, 2016-03-20 15:25:32, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.144192
127.0.0.1, 2016-03-20 15:26:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079431
127.0.0.1, 2016-03-20 15:26:32, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.149510
127.0.0.1, 2016-03-20 15:27:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088221
127.0.0.1, 2016-03-20 15:27:32, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.155860
127.0.0.1, 2016-03-20 15:28:20, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.023120
127.0.0.1, 2016-03-20 15:28:23, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.178026
127.0.0.1, 2016-03-20 15:28:49, POST, /admin/default/create_file, HTTP/1.1, 303, 0.030893
127.0.0.1, 2016-03-20 15:28:49, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.183875
127.0.0.1, 2016-03-20 15:28:52, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.046602
127.0.0.1, 2016-03-20 15:28:52, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.041419
127.0.0.1, 2016-03-20 15:28:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.103623
127.0.0.1, 2016-03-20 15:28:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.124713
127.0.0.1, 2016-03-20 15:28:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.096381
127.0.0.1, 2016-03-20 15:28:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.155604
127.0.0.1, 2016-03-20 15:28:53, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.231740
127.0.0.1, 2016-03-20 15:29:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046897
127.0.0.1, 2016-03-20 15:29:52, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.117452
127.0.0.1, 2016-03-20 15:30:10, POST, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.026528
127.0.0.1, 2016-03-20 15:30:16, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.196385
127.0.0.1, 2016-03-20 15:30:20, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.040310
127.0.0.1, 2016-03-20 15:30:20, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.044147
127.0.0.1, 2016-03-20 15:30:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073658
127.0.0.1, 2016-03-20 15:30:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.119049
127.0.0.1, 2016-03-20 15:30:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.088770
127.0.0.1, 2016-03-20 15:30:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.178609
127.0.0.1, 2016-03-20 15:30:20, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.240155
127.0.0.1, 2016-03-20 15:30:37, POST, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.047125
127.0.0.1, 2016-03-20 15:30:41, GET, /myapp/default/index, HTTP/1.1, 200, 0.052853
127.0.0.1, 2016-03-20 15:30:42, GET, /myapp/default/index, HTTP/1.1, 200, 0.028698
127.0.0.1, 2016-03-20 15:31:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064448
127.0.0.1, 2016-03-20 15:31:20, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.148419
127.0.0.1, 2016-03-20 15:31:27, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.214842
127.0.0.1, 2016-03-20 15:31:32, GET, /myapp/default/first, HTTP/1.1, 200, 0.086730
127.0.0.1, 2016-03-20 15:31:32, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2016-03-20 15:31:39, GET, /myapp/default/second, HTTP/1.1, 200, 0.050162
127.0.0.1, 2016-03-20 15:31:39, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000426
127.0.0.1, 2016-03-20 15:31:47, GET, /admin/default/peek/myapp/views/default/second.html, HTTP/1.1, 200, 0.037545
127.0.0.1, 2016-03-20 15:31:49, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.042888
127.0.0.1, 2016-03-20 15:31:49, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.041607
127.0.0.1, 2016-03-20 15:31:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.103600
127.0.0.1, 2016-03-20 15:31:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.126623
127.0.0.1, 2016-03-20 15:31:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.149928
127.0.0.1, 2016-03-20 15:31:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.123484
127.0.0.1, 2016-03-20 15:31:50, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.214802
